obsid,uid,KIC,ra,dec,SNR_g,SNR_r,Gaiamag,R_Gaia,R_Kepler,R_TranSR-Net
362116033,G14030297141175,9328372,284.70779,45.849361,309.24,414.42,11.077868,2.0563,1.74,1.9163
362011095,G14030486337081,9143749,286.6554,45.596039,310.02,391.16,11.094495,1.9559,1.76,1.9163
362011121,G14029922950764,9455860,287.56848,46.008389,438.1,502.95,10.720376,1.73,1.67,1.9163
362012043,G14076311096326,9457728,288.59967,46.031712,449.66,481.39,10.366027,1.8734,1.85,2.1546
362015230,G14029669661903,8677016,286.28662,44.808609,444.66,554.34,11.154655,1.6212,1.35,1.4418
362016021,G14032083916217,9073645,284.37222,45.447861,277.43,370.86,11.446458,2.3642,2.37,2.3906
362805086,G14077597932168,10200000,294.37708,47.289928,429.55,536.83,10.537773,1.8951,1.92,1.9163
362811181,G14061369897385,12100000,295.52905,50.527569,259.25,374.21,11.208405,2.4464,2.33,2.3828
362813152,G14058841891520,11500000,297.37161,49.35284,319.36,438.71,10.996387,2.1166,2.01,2.0986
363407217,G14077351401928,8956017,292.97873,45.27906,391,491.83,10.390221,1.9424,1.84,2.0571
363415201,L14074982256520,11000000,290.35272,48.51479,526.41,718.15,11.374174,2.1663,2.08,1.9807
363504247,G14078849851254,10100000,291.6326,47.084751,286.02,368.58,11.511101,1.5552,1.45,1.6008
363509079,G14075282812908,11100000,291.4357,48.624039,224.69,347.51,11.30238,2.2507,2.11,2.2153
364304083,G14064847250508,9049593,299.79135,45.391579,596.12,808.35,10.368211,1.5365,1.4,1.5203
365007159,G14026479913985,5512589,283.73285,40.77533,328.53,470.67,9.940283,1.6872,1.61,1.7053
367711231,G14071826615263,7700968,297.34216,43.333889,315.09,431.49,10.367025,1.3275,1.21,1.3973
367716060,G14086123510263,7622208,295.95361,43.234112,247.38,331.8,11.520991,2.0312,1.92,2.1546
365806086,G14030308009770,9697131,285.07767,46.419601,168.2,228.33,10.214357,1.9873,1.9,1.923
365807205,G14032069838685,8738809,284.79376,44.950481,86.96,118.88,9.900205,2.106,2.27,2.1546
365809153,G14028942515449,10300000,283.43317,47.408539,134.51,228.83,11.023555,1.4176,1.46,1.4277
365815171,G14028512310937,10700000,281.4480182,48.0825391,301.31,410.52,9.73434,1.8381,1.79,1.775
367816037,G14086086070127,7833440,295.41605,43.583302,274.97,378.7,11.019842,1.7051,1.7,1.775
367904116,G14074507472729,6064910,297.74326,41.394089,326.12,431.41,11.357506,2.3462,2.37,2.5286
369015225,L14083809650799,8228742,290.19968,44.155239,646,839.31,17.268135,1.9028,1.87,1.8673
369107192,G14087057779747,5961597,292.25751,41.24144,402.02,494.9,10.222592,2.0337,1.96,2.1546
369110217,G14081242070522,6766513,288.26965,42.257099,332.15,426.79,11.287637,2.1767,2.13,2.1906
369704145,L14080828971579,3643774,290.94705,38.777012,282.16,381.33,9.841575,1.6523,1.51,1.6317
369706024,G14080221311182,3241581,293.08517,38.34174,361.26,524.78,10.150772,1.1127,1.03,1.2083
369709206,L14080440683581,4465324,291.89133,39.581039,194.43,329.02,11.30005,1.4381,1.38,1.3605
369806011,G14080222176143,3123191,292.9682,38.21574,178.06,229.18,9.843861,1.6194,1.42,1.4872
373113134,G14073137377757,5468089,296.88916,40.68716,249.57,409.76,10.010079,2.0661,2,1.6832
373115007,G14084674057618,6049366,293.93292,41.31683,197.87,307.83,11.084329,1.8753,1.84,1.8673
